Scrip,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
NIL,14/08/2025,704.2,-0.63,709.5,703,709.4,"7,752","54,64,835.40"
NIL,13/08/2025,708.67,-0.11,712,701.4,712,"5,729","40,36,085.30"
NIL,12/08/2025,709.47,-0.57,713,704,706.1,"12,797","90,50,407.40"
NIL,11/08/2025,713.51,-0.64,728,700,720,"23,304","1,65,64,257.50"
NIL,07/08/2025,718.09,0.7,722,713,719,"15,453","1,10,81,072.40"
NIL,06/08/2025,713.08,-0.2,717,708,708,"30,753","2,18,25,644.30"
NIL,05/08/2025,714.53,-1.63,735,713.5,726.1,"33,144","2,37,87,717.30"
NIL,04/08/2025,726.4,-0.28,733.9,715.1,730,"22,303","1,61,76,585.60"
NIL,03/08/2025,728.45,-1.66,743,719.6,736,"44,625","3,26,16,693.90"
NIL,31/07/2025,740.72,-0.7,755,730,750,"40,300","2,97,77,643.10"
NIL,30/07/2025,745.92,-0.11,762,734.1,760,"25,452","1,90,10,613.70"
NIL,29/07/2025,746.77,0.26,765,745,750,"42,728","3,21,48,971.70"
NIL,28/07/2025,744.86,-1.25,754.28,737,754.28,"32,599","2,41,78,447.20"
NIL,27/07/2025,754.28,-1.95,770,751,769.25,"53,733","4,09,71,153.20"
NIL,24/07/2025,765,-0.66,775,761,771,"35,659","2,73,59,398.90"
NIL,23/07/2025,766.6,-0.42,779.9,751.7,771.1,"45,084","3,44,64,483.50"
NIL,22/07/2025,769.84,2.45,783.9,751.4,751.4,"45,273","3,49,16,532.10"
NIL,21/07/2025,751.4,1.57,756,732.2,735,"38,826","2,90,39,922.00"
NIL,20/07/2025,739.75,1.71,748.9,726,730,"60,096","4,44,70,709.10"
NIL,17/07/2025,727.34,2.39,730,715,715,"25,679","1,86,16,042.10"
NIL,16/07/2025,710.36,0.28,719,701.3,719,"16,807","1,19,18,330.80"
NIL,15/07/2025,708.35,1.29,711,697.1,700,"30,211","2,12,49,974.80"
NIL,14/07/2025,699.33,-0.56,715,698.8,702,"23,574","1,65,88,767.60"
NIL,13/07/2025,703.29,0.04,725,702.1,710,"32,826","2,32,38,802.70"
NIL,10/07/2025,703,0.49,706,696.1,699.58,"24,205","1,69,89,938.20"
NIL,09/07/2025,699.58,-0.08,708,695,702,"18,947","1,32,72,255.70"
NIL,08/07/2025,700.14,-0.7,709,696,705,"23,907","1,67,47,049.10"
NIL,07/07/2025,705.06,-0.62,721,702.1,721,"18,837","1,32,74,026.30"
NIL,06/07/2025,709.48,0.15,722,705,705,"44,132","3,15,53,331.50"
NIL,03/07/2025,708.44,1.41,712,695,698.62,"25,090","1,77,63,322.90"
NIL,02/07/2025,698.62,2.06,708,688,695,"23,629","1,64,69,188.00"
NIL,01/07/2025,684.55,1.07,687,681,686,"9,671","66,21,415.80"
NIL,30/06/2025,677.27,1.49,684.9,670.1,678.3,"13,876","94,03,122.80"
NIL,29/06/2025,667.34,0.48,675,665,665,"20,668","1,38,42,128.80"
NIL,26/06/2025,664.12,-0.14,670,663.5,665,"8,969","59,67,247.90"
NIL,25/06/2025,665.03,-0.03,674,665,674,"8,558","56,94,566.00"
NIL,24/06/2025,665.2,-0.51,678,665,668,"17,488","1,16,78,527.40"
NIL,23/06/2025,668.6,-0.83,680,668,670,"12,649","84,83,472.10"
NIL,22/06/2025,674.19,-0.8,681,673,680,"14,368","97,21,642.00"
NIL,19/06/2025,679.62,0.07,683.9,679,679,"17,962","1,22,15,232.30"
